OID_,Join_Count,TARGET_FID,Station_Id,Station_Name,Fuel_Type,Address,City,State,Zipcode,Zipcode_Route,Directions,Country,Phone_Number,Current_Status,Availability_Date,Accessability,Access_Details,Access_Hours,Payment_Methods,Ownership_Type,Federal_Owner,Biodiesel_Blends,E85_Blender_Pump,E85_Ethanol_Blends,CNG_Dispensers,CNG_Fill_Type,CNG_Pressures,CNG_Renewable_Source,CNG_Compression,CNG_Storage,CNG_Vehicle_Size,LNG_Renewable_Source,LNG_Vehicle_Size,LPG_Nozzle_Types,LPG_Primary_Station,RD_Blends,RD_Blended_With_Biodiesel,RD_Max_Biodiesel,EV_Level1_EVSE_Ports,EV_Level2_EVSE_Ports,EV_DC_Fast_Ports,EV_Other_EVSE_Ports,EV_Connector_Types,EV_Network,EV_Network_Id,EV_Network_Link,EV_Pricing,EV_Renewable_Source,HY_Is_Retail,HY_Pressures,HY_Standards,HY_Status_Link,Geocode_Status,Latitude,Longitude,Open_Date,Date_Last_Confirmed,Date_Last_Update,facility_type,Directions_French,Access_Hours_French,Biodiesel_Blends_French,RD_Blends_French,EV_Pricing_French,Restricted_Access,geoName,customGeo,centrLat,centrLon,sqmi,destin,dest_sqmi
18045,1,18045,113671,Hilton Garden Inn Washington DC Downtown - Tesla Destination,ELEC,815 14th St NW,Washington,DC,20005,,,US,"202-783-7800, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,Tesla,Tesla Destination,499944,https://www.tesla.com/destination-charging,Free,,,,,,200-8,38.900701099999999,-77.031648700000005,12/10/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
18046,1,18046,113672,Embassy Suites by Hilton Convention Center - Tesla Destination,ELEC,900 10th St NW,Washington,DC,20001,,,US,"202-739-2001, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,3,,,"J1772, Tesla",Tesla Destination,504520,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.901936999999997,-77.026251000000002,3/23/2017 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
18049,1,18049,113675,The St. Regis Washington D.C. - Tesla Destination,ELEC,923 16th St NW,Washington,DC,20006,,,US,"202-638-2626, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,1,,,Tesla,Tesla Destination,513455,https://www.tesla.com/destination-charging,Free,,,,,,200-9,38.902129500000001,-77.036152200000004,10/6/2015 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,HOTEL,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
22469,1,22469,123243,1801 K Street NW,ELEC,1801 K Street NW,Washington,DC,20006,,,US,866-816-7584,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,EV Connect,9cfd54c6-f74c-4f19-8168-a6f04b9a6c51,http://evconnect.com/,,,,,,,GPS,38.903675000000000,-77.041954000000004,4/1/2019 0:00:00,8/16/2023 0:00:00,8/16/2023 0:51:30,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
23435,1,23435,137150,901 K Street NW - Tesla Destination,ELEC,901 K St NW,Washington,DC,20036,,,US,"202-350-6625, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,Tesla,Tesla Destination,513940,https://www.tesla.com/destination-charging,Free,,,,,,GPS,38.903058999999999,-77.025600999999995,4/4/2019 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,PARKING_GARAGE,,,,,,,McPherson Square / Franklin Park,McPherson Square / Franklin Park,38.902600000000000,-77.031999999999996,0.232700000000000,31485,135322.455699999991339
23448,1,23448,137167,1255 23rd St NW - Tesla Destination,ELEC,1255 23rd St NW,Washington,DC,20037,,,US,"202-223-1537, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,4,,,"J1772, Tesla",Tesla Destination,513828,https://www.tesla.com/destination-charging,Free,,,,,,GPS,38.906273300000002,-77.049854199999999,4/5/2019 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,PARKING_GARAGE,,,,,,,West End,West End,38.905099999999997,-77.050700000000006,0.080900000000000,13266,163906.759799999999814
23449,1,23449,137168,The Hub - Tesla Destination,ELEC,1615 L St NW,Washington,DC,20036,,,US,"202-349-4068, 877-798-3752",E,,Public,,,,P,,,,,,,,,,,,,,,,,,,,2,,,"J1772, Tesla",Tesla Destination,513942,https://www.tesla.com/destination-charging,Free,,,,,,GPS,38.904273000000003,-77.037481000000000,4/25/2019 0:00:00,10/6/2022 0:00:00,1/18/2023 15:15:20,PARKING_GARAGE,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25013,1,25013,148386,531713 : The Jefferson Building,ELEC,1225 19th Street Northwest,Washington,DC,20036,,,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,4,,,J1772,SemaCharge Network,2892,https://semaconnect.com/,$0.15/kWh Energy Fee,,,,,,GPS,38.906666000000001,-77.043042999999997,2/6/2019 0:00:00,6/21/2023 0:00:00,6/21/2023 0:02:57,,,,,,,,Dupont Circle,Dupont Circle,38.908700000000003,-77.044600000000003,0.192300000000000,28687,149193.469699999986915
25014,1,25014,148393,1200 17th Street NW,ELEC,"1200 17th Street, NW",Washington,DC,20036,,,US,800-663-5633,T,2/27/2023 0:00:00,Public,,,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,SemaCharge Network,889,https://semaconnect.com/,FREE,,,,,,GPS,38.905749000000000,-77.038704999999993,11/5/2014 0:00:00,6/20/2023 0:00:00,6/20/2023 0:10:31,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25015,1,25015,148394,1920 L Street,ELEC,1920 L Street NW,Washington,DC,20036,,Closed Saturdays & Sundays,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,SemaCharge Network,358,https://semaconnect.com/,$1.50/Hr Parking Fee,,,,,,GPS,38.903492000000000,-77.044477000000001,11/1/2013 0:00:00,6/21/2023 0:00:00,6/21/2023 0:04:18,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25016,1,25016,148395,1900 L Street,ELEC,1900 L Street NW,Washington,DC,20036,,Closed Saturdays & Sundays,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,SemaCharge Network,357,https://semaconnect.com/,$1.50/Hr Parking Fee,,,,,,GPS,38.903492000000000,-77.043903000000000,11/1/2013 0:00:00,6/21/2023 0:00:00,6/21/2023 0:04:11,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25018,1,25018,148398,1020 19th Street,ELEC,1020 19th Street NW,Washington,DC,20036,,Closed Saturdays & Sundays,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,1,,,J1772,SemaCharge Network,360,https://semaconnect.com/,$1.50/Hr Parking Fee,,,,,,GPS,38.903146999999997,-77.043824999999998,10/28/2016 0:00:00,6/21/2023 0:00:00,6/21/2023 0:04:16,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25019,1,25019,148399,Eleven Hundred Connecticut Avenue,ELEC,1100 Connecticut Avenue Northwest,Washington,DC,20036,,,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,SemaCharge Network,3293,https://semaconnect.com/,$1.00/Hr Parking Fee,,,,,,GPS,38.903972000000003,-77.040549999999996,6/3/2019 0:00:00,6/21/2023 0:00:00,6/21/2023 0:01:36,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25020,1,25020,148401,"531706 : 1667 K Street, NW",ELEC,1667 K Street Northwest,Washington,DC,20006,,,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,4,,,J1772,SemaCharge Network,2673,https://semaconnect.com/,$0.00-$10.00/Hr Variable Parking Fee,,,,,,GPS,38.903018000000003,-77.038133000000002,7/17/2018 0:00:00,6/21/2023 0:00:00,6/21/2023 0:02:37,,,,,,,,Farragut Square / 19th Street,Farragut Square / 19th Street,38.902900000000002,-77.041799999999995,0.268500000000000,33429,124508.526199999992969
25023,1,25023,148417,"531705 : 1331 F Street, NW",ELEC,1331 F Street Northwest,Washington,DC,20004,,,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,4,,,J1772,SemaCharge Network,2672,https://semaconnect.com/,$0.00-$10.00/Hr Variable Parking Fee,,,,,,GPS,38.897643000000002,-77.030935999999997,4/4/2016 0:00:00,6/21/2023 0:00:00,6/21/2023 0:01:44,,,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
25024,1,25024,148422,1001 Pennsylvania,ELEC,1001 Pennsylvania Avenue Northwest,Washington,DC,20004,,,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,4,,,J1772,SemaCharge Network,1210,https://semaconnect.com/,$2.00/Hr Parking Fee,,,,,,GPS,38.895414000000002,-77.026005999999995,12/1/2011 0:00:00,6/21/2023 0:00:00,6/21/2023 0:02:46,,,,,,,,Metro Center / 15th Street,Metro Center / 15th Street,38.897799999999997,-77.028099999999995,0.198000000000000,36833,185980.587599999998929
25027,1,25027,148426,Lexington/Market Sq Parking Garage,ELEC,401 9th St NW & D St NW,Washington,DC,20004,,null,US,800-663-5633,E,,Public,,,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,SemaCharge Network,113,https://semaconnect.com/,$1.00-$5.00/Hr Variable Parking Fee,,,,,,GPS,38.894759000000001,-77.023956999999996,12/20/2011 0:00:00,6/20/2023 0:00:00,6/20/2023 0:11:02,,,,,,,,Gallery Place / Chinatown,Gallery Place / Chinatown,38.899200000000000,-77.021799999999999,0.205600000000000,40394,196512.243900000001304
