segment_id,osm_id,segment_polyline,segment_geometry,segment_centroid,BLOCKID10,num_spaces,rate_card,weekday_averages,weekend_averages
4321288808041815655,589905653_4,yynlFbbguM?oD,"LINESTRING(-77.046261 38.911166, -77.045383 38.911166)",POINT(-77.045822 38.911166000822),110010055001005,14,"2 Hours (Mon-Fri; 7am-8:30pm): Free, Mon-Fri (8:30pm-7am): Free, Sat-Sun: Free, Residential Permit Only: Free, Tue (9:30am-11:30am; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","79,78,77,78,79,82,81,79,73,52,34,34,37,41,48,53,55,54,54,59,64,74,81,84","78,76,77,77,80,80,80,78,76,66,52,46,46,47,48,49,53,53,56,54,57,64,72,74"
-3766917366330077227,131076063_0,iillF~|buM?vC,"LINESTRING(-77.024962 38.898294, -77.025723 38.89829)",POINT(-77.0253425000107 38.8982920006174),110010058001017,12,"Each Hour (Mon-Fri; 7am-11am; 2 Hour Max): $2.30, Each Hour (Mon-Fri; 11am-4pm; 2 Hour Max): $4.75, Each Hour (Mon-Fri; 4pm-10pm; 4 Hour Max): $3.25, Each Hour (Sat; 7am-10pm; 4 Hour Max): $2.75, Mon-Sat (10pm-7am): Free, Sun: Free","85,85,84,85,85,85,84,80,73,64,48,46,47,52,60,63,64,61,57,57,62,66,74,79","84,85,86,87,88,87,86,83,79,69,53,42,41,39,40,40,43,44,45,43,46,54,59,65"
-4830537353537117759,397321698_0,ydllFfjbuMyB?,"LINESTRING(-77.021961 38.897573, -77.021961 38.898184)",POINT(-77.021961 38.8978785),110010058001016,12,"Each Hour (Mon-Fri; 7am-10:30am): $3.25, Mon-Fri (10:30am-2:30pm): No Parking, Each Hour (Mon-Fri; 2:30pm-10pm): $2.30, Each Hour (Sat; 7am-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Snow Emergency: No Parking","78,75,75,74,74,74,72,0,0,0,0,31,34,38,47,52,57,0,0,0,54,63,72,75","81,79,80,80,81,80,80,76,73,61,43,31,28,27,27,28,33,32,32,31,36,45,52,56"
-7924391350741604326,130889757_0,sjllF~efuMcD?,"LINESTRING(-77.041756 38.898498, -77.041756 38.899325)",POINT(-77.041756 38.8989115),110010108002001,17,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free","71,69,68,69,69,68,64,0,0,0,0,29,29,34,42,50,60,0,0,0,85,90,93,93","81,85,86,88,87,88,85,84,83,76,68,63,61,62,64,66,71,76,80,81,83,86,87,88"
-1802911978201448792,1033847613_0,epllFjpfuMdB?,"LINESTRING(-77.043424 38.899391, -77.043424 38.898879)",POINT(-77.043424 38.899135),110010108002001,11,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking","75,74,74,74,74,73,69,0,0,0,0,32,33,40,47,54,57,0,0,0,86,90,92,92","83,86,86,87,87,86,85,83,82,76,67,61,60,61,62,65,70,74,77,80,82,85,89,89"
-6970501285436772486,29961164_0,o{klFv{cuM?hJ,"LINESTRING(-77.029885 38.896084, -77.031686 38.896084)",POINT(-77.0307855 38.8960840034582),110010058001041,29,"Mon-Sat (7am-7pm; Residential Permit Only): Free, Mon-Sat (7pm-7am): Free, Sun: Free","74,74,74,74,74,74,68,44,34,27,17,17,19,23,27,32,38,41,43,55,76,81,86,90","77,77,78,79,80,79,77,67,62,50,34,27,25,26,26,28,35,40,46,51,58,67,72,76"
6622116678292200919,131052386_0,qoklF|cbuMe@gC,"LINESTRING(-77.020947 38.894175, -77.020273 38.894362)",POINT(-77.0206100004437 38.8942685004843),110010058002013,12,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","81,79,79,80,79,78,76,71,61,49,36,35,38,44,53,60,68,71,70,72,75,78,84,88","85,88,89,90,89,89,87,85,83,74,62,50,47,46,48,51,59,61,64,65,65,73,76,80"
302052790207805112,131076063_0,yillF`ybuM@pG,"LINESTRING(-77.024328 38.89837, -77.025701 38.898363)",POINT(-77.0250145000338 38.8983665020099),110010058001018,22,"Each Hour (Mon-Fri; 7am-11am; 2 Hour Max): $2, Each Hour (Mon-Fri; 11am-4pm; 2 Hour Max): $4, Each Hour (Mon-Fri; 4pm-10pm; 4 Hour Max): $2.75, Each Hour (Sat; 7am-10pm; 4 Hour Max): $2.75, Mon-Sat (10pm-7am): Free, Sun: Free","85,85,84,85,85,85,84,80,73,64,48,46,47,52,60,63,64,61,57,57,62,66,74,79","84,85,86,87,88,87,86,83,79,69,53,42,41,39,40,40,43,44,45,43,46,54,59,65"
-5833160140394780429,296345143_0,etllF|q`uM@AvBi@,"LINESTRING(-77.012948 38.900027, -77.01273 38.899423)",POINT(-77.0128389995364 38.8997250000507),110010047021017,13,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Thu (12:30pm-2:30pm; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","60,58,57,58,60,64,64,69,69,61,53,53,58,61,68,74,81,84,87,91,91,91,93,95","84,86,85,85,86,88,88,90,91,88,85,81,81,81,82,84,87,88,91,92,92,94,95,95"
-1726496959617338824,297380211_1,_kllF~vauMuA?,"LINESTRING(-77.018879 38.898562, -77.018879 38.898993)",POINT(-77.018879 38.8987775),110010059001015,11,"Each Hour (Mon-Fri; 7am-11am; 2 Hour Max): $2.30, Each Hour (Mon-Fri; 11am-4pm; 2 Hour Max): $4.75, Each Hour (Mon-Fri; 4pm-10pm; 4 Hour Max): $2.75, Each Hour (Sat; 7am-10pm; 4 Hour Max): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","78,78,78,78,78,78,77,76,70,60,45,42,45,49,58,64,68,67,66,66,71,76,82,81","86,86,87,87,88,87,86,85,82,75,59,48,46,45,45,46,50,52,52,52,55,61,67,70"
-2347170861869290988,130802376_0,cullFfjbuMkB?,"LINESTRING(-77.021961 38.900178, -77.021961 38.900717)",POINT(-77.021961 38.9004475),110010058001003,11,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking","84,83,83,84,83,84,80,73,70,61,49,48,50,53,61,64,64,51,44,45,63,71,77,81","84,85,85,86,87,86,86,83,80,73,58,43,41,39,40,40,45,43,42,40,42,55,58,63"
-2897299610613339336,436136930_1,ebllFjpfuM|D?,"LINESTRING(-77.043424 38.897152, -77.043424 38.8962)",POINT(-77.043424 38.896676),110010108002011,19,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Mon-Sat (6:30pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking","78,77,77,78,78,78,76,45,38,30,35,52,54,61,67,72,42,45,50,69,90,90,93,95","82,86,86,88,87,87,87,86,88,85,80,76,75,76,76,79,82,85,87,88,89,91,92,92"
6747049251836015146,130772962_0,}cklFj`auMgD?,"LINESTRING(-77.015261 38.892315, -77.015261 38.89315)",POINT(-77.015261 38.8927325),110010059001041,14,Government Vehicle Only: No Parking,"63,62,62,63,64,65,60,0,0,0,0,29,35,43,54,64,71,0,0,0,90,92,95,95","80,81,81,81,84,86,85,84,83,76,64,54,53,54,56,60,69,74,80,83,85,88,91,91"
-2436565199734171584,274292550_0,_sllFrlauM?uC,"LINESTRING(-77.017222 38.899841, -77.016471 38.899841)",POINT(-77.0168465 38.8998410006013),110010059001010,12,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-11pm; 2 Hour Max): $1, Each Hour (Mon-Fri; 11am-4pm; 2 Hour Max): $2, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $1, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking","76,76,76,76,77,79,76,0,0,0,0,62,65,70,77,80,84,0,0,0,87,89,90,87","76,80,80,81,83,83,83,83,86,82,75,67,64,65,65,67,71,73,73,73,75,79,80,76"
4803857748544988783,131520229_4,innlFvdguMtB?,"LINESTRING(-77.046676 38.909326, -77.046676 38.908742)",POINT(-77.046676 38.909034),110010055004000,12,"2 Hours (Mon-Fri; 7am-8:30pm): Free, Mon-Fri (8:30pm-7am): Free, Sat-Sun: Free, Residential Permit Only: Free, Mon (9:30am-11:30am; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","56,55,55,55,58,61,57,54,48,32,20,21,22,27,32,35,38,37,39,45,59,68,74,77","52,58,57,60,61,66,64,63,62,51,38,33,33,34,36,38,41,43,48,45,49,60,63,65"
6838112779162232282,297294792_0,otklFr}auMaE?,"LINESTRING(-77.019941 38.894961, -77.019941 38.895931)",POINT(-77.019941 38.895446),110010058002010,20,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Mon-Fri (6:30pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sat (6:30pm-7am): Free, Sun: Free, Snow Emergency: No Parking","74,73,73,74,74,73,70,0,0,0,0,36,40,46,56,63,69,0,0,0,75,80,84,88","80,83,83,85,84,85,84,83,82,73,61,48,46,43,46,48,56,57,58,56,58,68,72,75"
-8265858400334127309,131052386_1,iqklF~{auMWwA,"LINESTRING(-77.019682 38.894447, -77.019238 38.894575)",POINT(-77.0194600002001 38.8945110002102),110010059001040,16,"Mon-Fri (7am-6:30pm; Government Vehicle Only): No Parking, Mon-Fri (6:30pm-7am): Free, Sat-Sun: Free","73,72,71,72,72,71,66,54,41,29,20,20,23,29,37,46,57,61,65,74,85,89,92,93","84,86,86,87,87,87,87,85,83,76,65,53,51,50,52,54,63,68,72,73,75,81,85,87"
8204477413592432305,590598876_0,gwllF`zguMxC?,"LINESTRING(-77.050089 38.90052, -77.050089 38.899748)",POINT(-77.050089 38.900134),110010108001005,16,"Each Hour (Mon-Fri; 7am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Snow Emergency: No Parking","62,61,61,62,62,62,57,46,33,25,22,26,28,34,41,48,43,44,46,56,66,73,81,84","73,76,76,77,77,78,76,75,74,68,58,53,53,53,54,53,59,60,62,64,65,75,79,80"
3168298674584714985,6061944_0,wvllFj{duMu@_@,"LINESTRING(-77.034937 38.900437, -77.034782 38.900708)",POINT(-77.0348595001479 38.9005725000256),110010101001017,14,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","71,71,71,71,73,74,70,61,56,47,22,20,21,23,27,29,40,39,40,51,71,75,80,83","72,73,73,73,77,77,76,73,71,63,48,41,40,41,42,44,48,50,52,52,60,67,72,73"
3244131847340580885,6054255_5,elklFliauM?vB,"LINESTRING(-77.01671 38.893631, -77.01731 38.893631)",POINT(-77.01701 38.8936310003838),110010059001040,15,"Each Hour (Mon-Sat; 7am-10pm; 2 Hour Max): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","67,66,65,66,68,69,67,63,56,45,34,34,38,45,55,65,74,78,84,89,91,92,94,95","83,86,86,86,87,88,88,86,85,80,69,61,59,59,61,65,72,79,84,86,88,90,92,93"
-556294395239754644,50511187_4,oullF~k`uMAoD,"LINESTRING(-77.011997 38.900242, -77.01112 38.90025)",POINT(-77.0115585000247 38.90024600082),110010047021020,14,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Sun: Free, Snow Emergency: No Parking","58,57,57,57,60,61,57,52,51,48,46,51,55,63,71,77,79,0,0,0,93,94,94,94","77,78,78,78,80,82,82,84,87,86,83,80,80,81,82,84,87,89,90,91,93,94,94,94"
-8710547325551739368,296352769_1,qcllF`d`uM?kE,"LINESTRING(-77.010727 38.897371, -77.009712 38.897371)",POINT(-77.0102195 38.8973710010984),110010059001001,16,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","62,60,59,60,66,71,72,74,76,67,59,59,64,71,78,83,87,90,93,95,96,97,98,94","85,86,87,87,90,91,92,92,94,92,88,86,85,86,86,88,90,92,93,93,95,96,97,96"
4102051273621040676,435134458_1,esklF|f`uMAvC,"LINESTRING(-77.011193 38.894749, -77.011955 38.894757)",POINT(-77.0115739999786 38.8947530006191),110010059001031,12,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","64,63,63,64,67,69,66,60,55,47,43,47,53,60,69,76,73,77,83,90,94,95,96,97","82,83,83,83,86,87,88,88,90,87,81,76,76,77,78,80,85,88,91,92,92,94,95,96"
2975143997120134627,203119342_0,s}llFjhduMkB?,"LINESTRING(-77.031899 38.901538, -77.031899 38.902077)",POINT(-77.031899 38.9018075),110010101001014,11,"Mon-Fri (7am-7pm): No Parking, Mon-Fri (7pm-7am): Free, Sat-Sun: Free, Snow Emergency: No Parking","78,78,77,78,79,78,75,72,0,0,0,0,0,0,0,0,0,0,0,0,68,73,80,83","77,79,79,80,85,83,82,78,72,60,40,31,30,31,33,34,39,42,45,46,53,59,68,71"
1992753905253349079,436136927_2,yomlFbeeuMhB?,"LINESTRING(-77.036499 38.904451, -77.036499 38.90392)",POINT(-77.036499 38.9041855),110010101002002,11,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-6:30pm; 2 Hour Max): $2.30, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Snow Emergency: No Parking","54,55,54,55,56,58,54,0,0,0,0,30,32,34,39,45,51,51,52,55,72,79,84,82","65,64,64,63,66,67,66,63,64,56,45,37,39,38,40,42,48,48,50,49,53,64,71,71"
-6478251167630672936,6056363_1,szklF~ffuM?P?tB?rB,"LINESTRING(-77.041918 38.895944, -77.043176 38.895944)",POINT(-77.042547 38.8959440016873),110010108002011,18,"Mon-Fri (7am-9:30am): No Parking, Each Hour (Mon-Fri; 9:30am-4pm; 2 Hour Max): $2.30, Mon-Fri (4pm-6:30pm): No Parking, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Each Hour (Sat; 7am-6:30pm; 2 Hour Max): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Snow Emergency: No Parking, Tue (10pm-5am; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","74,74,74,75,75,77,74,0,0,0,0,42,46,53,60,67,70,0,0,0,91,94,95,95","84,88,88,89,90,90,89,88,88,83,76,72,71,72,74,78,83,85,88,88,87,90,92,92"
1387348041069893268,6056366_0,owklFtxfuM@yD,"LINESTRING(-77.044748 38.895436, -77.043815 38.895429)",POINT(-77.044281499977 38.8954325009281),110010108002017,15,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free, Snow Emergency: No Parking","76,76,76,76,77,78,77,76,71,61,52,51,52,57,64,70,74,76,80,83,87,89,91,91","84,87,86,87,88,88,87,87,86,82,74,70,68,68,68,70,74,77,80,82,84,86,88,89"
799876131603954004,130889757_0,ijllFjefuMyB?,"LINESTRING(-77.041664 38.898453, -77.041664 38.899064)",POINT(-77.041664 38.8987585),110010108002000,12,"Mon-Fri: No Parking, Sat-Sun: Free, Snow Emergency: No Parking","71,69,68,69,69,68,64,0,0,0,0,29,29,34,42,50,60,0,0,0,85,90,93,93","81,85,86,88,87,88,85,84,83,76,68,63,61,62,64,66,71,76,80,81,83,86,87,88"
6008645313046896580,215307087_2,_anlFnyeuM?aE,"LINESTRING(-77.039761 38.907204, -77.038791 38.907204)",POINT(-77.039276 38.9072040010032),110010107002013,15,"Each Hour (Mon-Fri; 7am-6:30pm; 2 Hour Max): $2.30, Mon-Fri (6:30pm-7am): Free, Sat-Sun: Free","75,74,74,72,73,75,71,58,55,54,42,41,44,48,54,58,63,64,62,63,68,75,78,80","75,76,75,74,76,77,77,73,74,69,57,49,51,51,54,56,61,58,57,51,51,61,63,66"
182424423815897773,6057544_2,qcllFjoauM?\AbD,"LINESTRING(-77.017659 38.897371, -77.018628 38.897379)",POINT(-77.0181434999727 38.8973750010011),110010059001014,15,"Each Hour (Mon-Fri; 7am-4pm; 2 Hour Max): $2.30, Each Hour (Mon-Fri; 4pm-10pm; 4 Hour Max): $2.30, Mon-Fri (10pm-7am): Free, Each Hour (Sat; 7am-10pm; 4 Hour Max): $2.30, Sat (10pm-7am): Free, Sun: Free","81,81,80,81,82,81,78,74,67,55,42,42,48,56,66,74,80,81,82,85,89,90,92,94","84,88,88,88,89,89,89,87,87,81,69,59,58,58,60,62,69,72,75,76,78,84,85,86"
-4945659104338246491,50524890_7,abnlFfrguMgB?,"LINESTRING(-77.048836 38.907366, -77.048836 38.907887)",POINT(-77.048836 38.9076265),110010055002004,11,"Mon-Fri (7am-6:30pm): No Parking, Mon-Fri (6:30pm-7am): Free, Sat-Sun: Free, Snow Emergency: No Parking","47,47,47,48,49,51,48,29,25,19,13,14,16,20,24,32,35,0,0,0,58,65,71,72","51,52,51,52,54,58,57,57,57,50,39,35,37,38,40,42,47,49,53,52,53,62,65,66"
3462734624790399490,119971773_4,qhllFxeauM`@?zAAF?,"LINESTRING(-77.016134 38.898166, -77.016124 38.897502)",POINT(-77.0161289999766 38.8978340000001),110010059001013,14,Government Vehicle Only: No Parking,"55,55,55,56,58,60,56,54,0,0,0,0,0,0,0,0,0,0,0,0,77,83,88,89","68,73,73,74,75,78,76,76,73,65,52,44,42,42,45,48,54,58,63,63,67,75,80,81"
6978805085542814477,131052383_0,{sklFlgauM?`A??Bx@,"LINESTRING(-77.016385 38.894861, -77.017011 38.894842)",POINT(-77.0166980000419 38.8948515004178),110010059001027,18,"Each Hour (Mon-Sat; 7am-6:30pm; 2 Hour Max): $2.30, Each Hour (Mon-Sat; 6:30pm-10pm): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","59,58,58,59,59,58,56,53,43,33,23,23,27,33,42,53,63,67,72,78,82,84,88,89","80,84,83,84,84,84,83,82,80,72,60,51,48,48,49,53,60,64,70,74,75,79,83,85"
1049760090225232233,6054255_5,clklF~aauM?`CAp@?f@,"LINESTRING(-77.015522 38.893621, -77.016617 38.89363)",POINT(-77.0160694999653 38.8936255012783),110010059001040,32,"Each Hour (Mon-Sat; 7am-10pm; 2 Hour Max): $2.30, Mon-Sat (10pm-7am): Free, Sun: Free","67,66,65,66,68,69,67,63,56,45,34,34,38,45,55,65,74,78,84,89,91,92,94,95","83,86,86,86,87,88,88,86,85,80,69,61,59,59,61,65,72,79,84,86,88,90,92,93"
-7852573704521174335,49827343_5,wsmlFzmhuMpB@,"LINESTRING(-77.053261 38.90508, -77.053268 38.904514)",POINT(-77.053264500014 38.9047970000001),110010055002011,12,"2 Hours (Mon-Fri; 7am-8:30pm): Free, Mon-Fri (8:30pm-7am): Free, Sat-Sun: Free, Residential Permit Only: Free","37,38,37,38,40,46,45,41,35,28,21,20,21,25,29,32,34,33,36,39,45,48,56,60","43,45,43,44,49,53,53,50,45,40,34,31,33,34,37,39,42,42,45,44,45,52,58,62"
-4642589660957929953,50797102_1,wiolFvdguM`C?,"LINESTRING(-77.046676 38.913721, -77.046676 38.913074)",POINT(-77.046676 38.9133975),110010055001002,13,"Mon-Sun (12am-7am): Free, Mon-Sun (7am-12am; Residential Permit Only): Free, Mon (9:30am-11:30am; Mar 01-Oct 31; Street Cleaning): No Parking, Holidays: Free","82,81,81,81,83,85,86,84,80,71,54,51,52,56,63,65,67,64,63,64,67,72,77,80","76,80,81,83,82,84,82,81,81,74,65,59,58,58,61,62,64,66,67,65,66,72,74,75"
